title,img,pub_date,city,bedrooms,description,currency,price
"Finch and Bathurst: 3 Goldfinch Court, SPACIOUS 1BR AVAILABLE!!",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/89/89756900-8921-41ac-bc71-b55d287da01f?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Apartment for Rent in Toronto managed by Q Residential Key Property Details Newly renovated suites and under new management Onsite Laundry & Parking! Convenient Access to Hwy 401 & to Many Amenities! ...",$,1750.00
"One bedroom bsmt apt.",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/55/554d5708-f298-40b0-b5c4-e6d32a12f755?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Apartment near dovercourt and Davenport for rent by owner please contact with any questions",-,0.00
"1 bedroom condo with utilities ",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/46/46d4657a-2262-4f99-b0d8-0776a74c01ad?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","All utilities are included in the rent. Open Concept Layout With Ample Closet Space. Laminate Flooring, Along With Vinyl Flooring In The Foyer.Conveniently Located In Walking Distance To U Of T, ...",$,2500.00
"1 bedroom and 2 bedroom Rental for students",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/71/71e1ce5d-1cc0-48ef-adf2-b83af171bc7e?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Utilities are included in the rent. Open Concept Layout With Ample Closet Space. Laminate Flooring, Along With Vinyl Flooring In The Foyer.Conveniently Located In Walking Distance To U Of T, Ryerson, ...",$,2500.00
"2 Bedroom Apartments for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/54/5445449f-e14c-4187-9d64-c30aa3a45f8f?rule=kijijica-200-jpg,09-09-2022,Toronto," 2","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,3384.00
"3 BedroomPent House Apartment for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/60/6066cf10-7cfd-466f-a3aa-32927ef332c4?rule=kijijica-200-jpg,09-09-2022,Toronto," 3","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,8995.00
"1 Bedroom Apartments for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/02d7065f-7b8d-4139-8da7-2ae66fce2b8d?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,2550.00
"Jr 1 Bedroom Apartments for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a0/a09352ae-b20e-4c82-8b05-9629a54bdd00?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,2050.00
"Lake Shore & Browns-Line 1 Br. CONDO Next to GO-Train",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/52/529094d8-6416-4592-b908-12e276823977?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Available Oct. 1st / Nov. 1st. Parking available for $100 extra. Quiet one Bedroom Condo, South facing unobstructed views of Lake and Park, directly across GO Train Station and TTC, near Golf course, ...",$,2200.00
"2 BEDROOMS + BIG LIVING ROOM (Students also welcome)",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a0/a0ed5fa1-e468-4dcb-ae11-f339aad30b85?rule=kijijica-200-jpg,09-09-2022,Toronto," 2","Excellent location: Near Lawrence Ave and Birchmount rd, 2 bedrooms, big Living rooms, Nice Washroom and Kitchen, Separate entrance door, free unlimited high-speed internet and car parking. All 100% ...",$,2000.00
"Forest Hill South 3-bedroom 'New' Condo for Rent, at Eglinton",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/99/99cc9f43-9a7e-4b26-b36d-fbe8b38dd943?rule=kijijica-200-jpg,09-09-2022,Toronto," 3","Forest Hill South 3-bedroom 'New' Condo for Rent, at Eglinton+Bathurst/St Claire, walk to Eglinton LRT Crosstown, Mins to Subway, Forest Hill Village, Loblaws, shopping etc. Contemporary Townhouse ...",$,4200.00
"Trinity-Bellwoods 1 Bedroom Renovated Apartment",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/33/33d6bd80-a1fa-4fac-bdd5-818b5c00c3fa?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","We have a 1 bedroom apartment located in the heart of Trinity Bellwoods available for rent. Located near Bathurst St & Dundas St W in a quiet residential neighbourhood. Street parking is available ...",$,1600.00
"North York Condo for Rent",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1b/1b1ac6c4-83c3-4d2c-87a6-0d99cafd1608?rule=kijijica-200-jpg,09-09-2022,Toronto," 3","The location is super convenient, located beside Shepard West TTC subway station, with lots of bus routes right in front of the building. The condo is in excellent condition, freshly painted and ...",$,3200.00
"1BHK Semi Furnsd Condo Scarborough Town Ctr for 6Month/1Yr rent",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a0/a013f1dd-7bce-47e9-a047-ab55070a1734?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Bright and Spacious 1 Bed Corner Suite Condo which is located next to Scarborough Town Centre Available for 6 month / 1 Year Rent Contact directly no Brokerage..!! Next to STC Mall and Subway, 5 mins ...",$,2500.00
"1 bedroom apartment for rent - NO SHARING",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/39/39445dd8-4122-4d18-b436-5408884f34c3?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","I bedroom apartment for rent available October 1, TTC, shopping, schools and churches at your footsteps.",$,1500.00
"Amazing Suite available!!! 2 BD",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ed/ed213a9c-f346-4a34-bd59-08ba23f5f490?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 2","Welcome to Kipling Heights, a friendly west-end location, establihsed in an up and coming neighbourhood that makes it easy to settle in and get comfortable. A great destinaiton for family living with ...Kipling Heights",-,0.00
"Student Accommodation near University of Toronto and Ryerson",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a0/a01a20ef-cc3a-406c-882d-9153c42dccf7?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 2 + Den","Perfect location for Universal of Toronto, Ryerson and Niagara College students. It’s at a walking distance from all. Also suitable for health professionals as the apartment is at a walking distance ...",$,3925.00
"NEW PRICE!! 1bd fully RENOVATED suite $1625",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/72/7296f42f-22fc-4d0e-a49f-cd8c57a7e399?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Apartment for Rent in Toronto managed by Q Residential Key Property Details Newly renovated property and suites with high end finishes and art deco details! Onsite Laundry & Parking! Close to ...",$,1695.00
"Pharmacy and Lawrence - 4 Bedroom Main Floor",None,09-09-2022,"City of Toronto"," 4","Renovated Extra Large 4 Bedroom Main floor unit of a Bungalow. Hardwood floor, 2 new Bathrooms,",$,3000.00
"Cozy bright basement near Ossington and Bloor- gardeningoption",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1d/1d0a551b-24e9-42f3-84a5-d3d66f53dfb5?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Looking for a quiet tenant for this clean and cozy, bright, renovated one bedroom basement apartment. Features separate entrance from front of house, high ceilings, full kitchen, and four piece bath. ...",$,1320.00
"Forest Hill Bachelor Apartment For Rent At Avenue & St. Clair",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3d/3dea52c1-aa43-44f5-b2ba-27fc3e3af1f2?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," Bachelor/Studio","Unfurnished large bachelor apartment in the prestige Forest Hill neibourhood at Avenue & St. Clair! Very bright with large windows overlooking Forest Hill. Very clean and safe. Streetcar station at ...",$,1700.00
"North York Spacious 2 bedroom Apt Steps to Glencairn Subway Stn",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/6a/6aafbf50-1dbb-40d9-8de0-7ad9d2e8b1f2?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 2","Available to move in NOW! Spacious Unfurnished 1600 squares foot 2-bedroom apartment in the lower level of a custom-build house. Lots of windows and lights. High ceiling. Heated flooring. Central ...",$,2400.00
"One bedroom basement unit separate entrance ",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/dd/dd939e84-c219-456a-8b56-c597c5578e64?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","I have one bed room basement unit near warden subway station , Eglington town Center for rent , start immediately. You have separated Entre, own kitchen, living room , washroom, need one year lease , ...",$,950.00
"Basement apt at Kennedy/Eglinton ",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fb/fb4a8525-e79c-4389-86c5-8d345ce4a4d6?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1 + Den","Basement apartment available on the Kennedy and Eglinton area. It’s in walking distance to stores, restaurants, schools, park and Kennedy Station. One large bedroom with a large living room with ...",$,1200.00
"3 bedroom detached main house for rent in Pickering",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d1/d1f2f84a-98da-40b3-b989-4b68a17d0324?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 3","3 large size bedrooms, eat in kitchen and large living/dining room Walking distance to schools, plaza, library and Pickering town centre, 401 Kingston & Liverpool intersection Separate entrance legal ...",$,2800.00
"SPACIOUS AND RENOVATED BASEMENT APT (FURNISHED) AVAILABLE (RENT)",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2e/2e2f4c8f-8dad-4780-aaab-35929782f450?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Furnished BASEMENT ONE BEDROOM APARTMENT is available From March 1, for rent in Prime Location in house (ST. CLAIR/LANSDOWNE) Available NOVEMBER FIRST, 2022, All Utilities included. IDEAL FOR Couple, ...",$,1200.00
